subject,best_clip_i_exp,best_clip_i,best_clip_i_clip_t,best_clip_i_dino,best_clip_i_params,best_dino_exp,best_dino,best_dino_clip_i,best_dino_clip_t,best_dino_params
backpack,E3_oft_r2,0.7745603919029236,0.3166239261627197,0.4084058403968811,23254464,E3_oft_r2,0.4084058403968811,0.7745603919029236,0.3166239261627197,23254464
cat,E2_oft_r8,0.7304673194885254,0.3150202631950378,0.1916419714689254,5776320,E3_oft_r2,0.2216269224882125,0.7200317978858948,0.3149653375148773,23254464
dog,E3_oft_r2,0.7411124110221863,0.2974863648414612,0.2016190439462661,23254464,E3_oft_r2,0.2016190439462661,0.7411124110221863,0.2974863648414612,23254464
