method,clip_i,clip_t,dino,trainable_params,trainable_ratio,energy_change_pct,clip_i_per_million_params,dino_per_million_params
oft,0.7355076273282369,0.3140462537606557,0.2558287257949511,13058880.0,0.0149139235954674,1.183572236474044e-06,0.05632241259037811,0.019590403296067586
coft,0.7135050296783447,0.316170871257782,0.19621040796240166,11602368.0,0.0133188580466123,1.1869244603291865e-06,0.06149650051423509,0.01691123811642603
boft,0.7121646205584208,0.3172155022621155,0.19712406521042183,522624.0,0.0006076891627514,1.173515564908616e-06,1.3626710992193638,0.3771814252893511
lora,0.7115443150202433,0.3174143483241399,0.2073013254751761,1992960.0,0.0023114009549146997,1.6956063718988375e-06,0.35702889923543035,0.10401680188020637
